time;voltage
16.3224;0.9883
16.3234;0.9883
16.3244;0.9883
16.3254;0.9883
16.3264;0.9883
16.3274;0.9883
16.3284;0.9883
16.3294;0.9883
16.3304;0.9883
16.3314;0.9883
16.3324;0.9883
16.3334;0.9883
16.3344;0.9883
16.3354;0.9883
16.3364;0.9883
16.3374;0.9883
16.3384;0.9883
16.3394;0.9883
16.3404;0.9883
16.3414;0.9883
16.3424;0.9883
16.3434;0.9883
16.3444;0.9883
16.3454;0.9883
16.3464;0.9883
16.3474;0.9883
16.3484;0.9883
16.3494;0.9883
16.3504;0.9883
16.3514;0.9883
16.3524;0.9883
16.3534;0.9883
16.3544;0.9883
16.3554;0.9883
16.3564;0.9883
16.3574;0.9883
16.3584;0.9883
16.3594;0.9883
16.3604;0.9883
16.3614;0.9883
16.3624;0.9883
16.3634;0.9883
16.3644;0.9883
16.3654;0.9883
16.3664;0.9883
16.3674;0.9883
16.3684;0.9883
16.3694;0.9883
16.3704;0.9883
16.3714;0.9883
16.3724;0.9883
16.3734;0.9883
16.3744;0.9883
16.3754;0.9883
16.3764;0.9883
16.3774;0.9883
16.3784;0.9883
16.3794;0.9883
16.3804;0.9883
16.3814;0.9883
16.3824;0.9883
16.3834;0.9883
16.3844;0.9883
16.3854;0.9883
16.3864;0.9883
16.3874;0.9883
16.3884;0.9883
16.3894;0.9883
16.3904;0.9883
16.3914;0.9883
16.3924;0.9883
16.3934;0.9883
16.3944;0.9883
16.3954;0.9883
16.3964;0.9883
16.3974;0.9883
16.3984;0.9883
16.3994;0.9883
16.4004;0.9883
16.4014;0.9883
16.4024;0.9883
16.4034;0.9883
16.4044;0.9883
16.4054;0.9883
16.4064;0.9883
16.4074;0.9883
16.4084;0.9883
16.4094;0.9883
16.4104;0.9883
16.4114;0.9883
16.4124;0.9883
16.4134;0.9883
16.4144;0.9883
16.4154;0.9883
16.4164;0.9883
16.4174;0.9883
16.4184;0.9883
16.4194;0.9883
16.4204;0.9883
16.4214;0.9883
16.4224;0.9883
16.4234;0.9883
16.4244;0.9883
16.4254;0.9883
16.4264;0.9883
16.4274;0.9883
16.4284;0.9883
16.4294;0.9883
16.4304;0.9883
16.4314;0.9883
16.4324;0.9883
16.4334;0.9883
16.4344;0.9883
16.4354;0.9883
16.4364;0.9883
16.4374;0.9883
16.4384;0.9883
16.4394;0.9883
16.4404;0.9883
16.4414;0.9883
16.4424;0.9883
16.4434;0.9883
16.4444;0.9883
16.4454;0.9883
16.4464;0.9883
16.4474;0.9883
16.4484;0.9883
16.4494;0.9883
16.4504;0.9883
16.4514;0.9883
16.4524;0.9883
16.4534;0.9883
16.4544;0.9883
16.4554;0.9883
16.4564;0.9883
16.4574;0.9883
16.4584;0.9883
16.4594;0.9883
16.4604;0.9883
16.4614;0.9883
16.4624;0.9883
16.4634;0.9883
16.4644;0.9883
